Date (yr)	Level  (mm)	 Error (mm)
1922.2917	-105.4	13.1
1922.375	-104.3	13.1
1922.4583	-104.6	13.2
1922.5417	-109.7	13.2
1922.625	-113.1	13.2
1922.7083	-114.8	13.2
1922.7917	-110.9	13.2
1922.875	-105	13.2
1922.9583	-101.6	13.3
1923.0417	-103	13
1923.125	-107.6	13
1923.2083	-106.3	13
1923.2917	-102	13
1923.375	-97.7	12.9
1923.4583	-100.3	12.9
1923.5417	-105.9	12.9
1923.625	-108.9	12.9
1923.7083	-108.9	12.9
1923.7917	-108.1	12.9
1923.875	-112.3	12.9
1923.9583	-115.1	13
1924.0417	-116.4	13
1924.125	-111.1	13
1924.2083	-111.8	13
1924.2917	-110.2	13
1924.375	-113.6	13
1924.4583	-113.7	13.1
1924.5417	-115.2	13.1
1924.625	-114.5	13.1
1924.7083	-114	13.2
1924.7917	-114.1	13.2
1924.875	-115.4	13
1924.9583	-113.6	13.6
1925.0417	-110.7	13.6
1925.125	-109	13.6
1925.2083	-110.9	13.6
1925.2917	-113.7	13.6
1925.375	-113.2	13.6
1925.4583	-113.4	13.6
1925.5417	-113.7	13.6
1925.625	-114.7	13.6
1925.7083	-113.4	13.6
1925.7917	-111.3	13.6
1925.875	-109.3	13.6
1925.9583	-105.8	14.2
1926.0417	-109.7	14.1
1926.125	-110.6	14.1
1926.2083	-113.8	13.7
1926.2917	-110.7	13.7
1926.375	-108.7	13.7
1926.4583	-106.1	13.7
1926.5417	-102.9	13.6
1926.625	-96.3	13.6
1926.7083	-95.6	13.6
1926.7917	-94.7	13.6
1926.875	-104.2	13.6
1926.9583	-107.8	13.6
1927.0417	-111.8	13.2
1927.125	-107.5	13.2
1927.2083	-105.6	13.2
1927.2917	-103.3	13.2
1927.375	-103.7	13.1
1927.4583	-102.9	13.1
1927.5417	-104.7	13.1
1927.625	-102.1	12.5
1927.7083	-108	12.5
1927.7917	-105.3	12.5
1927.875	-109.1	12.5
1927.9583	-109.9	12.5
1928.0417	-116.1	12.5
1928.125	-116	12.4
1928.2083	-114.1	12.3
1928.2917	-108.8	12.3
1928.375	-107.3	12.3
1928.4583	-104.7	12.3
1928.5417	-104.4	12.3
1928.625	-104	12.3
1928.7083	-104.5	12.3
1928.7917	-109.6	12.3
1928.875	-114	12.3
1928.9583	-117.1	12.3
1929.0417	-119.2	12.3
1929.125	-114.2	12.4
1929.2083	-111.7	12.4
1929.2917	-105.8	12.1
1929.375	-108.3	12.1
